dark,ratin,name,RA,DEC,Const,size,Mv,type,distance,descr
,,M49,12:30:18,07:56:28,Vir,4'x3.4',8.4,G-E4,65e6,Bright elliptical galaxy
,,M87,12:31:21,12:19:52,Vir,3'x3',8.6,G-E1,65e6,Jet and black hole
,XX,24 COM,12:35:39,18:19:04,Com,20",5.3-6.7,Double,614,Spring Albireo/orange and blue
,,M89,12:36:11,12:29:54,Vir,2'x2',9.8,G-E0,65e6,Fainter than M86
,,NGC4565,12:36:49,25:55:25,Com,16'x2.8',9.6,G-Sb,31e6,Edge-on spiral/dust lane
,,NGC4567,12:37:01,11:11:30,Vir,4.6'x2.1',11,G-Sc,65e6,"Siamese Twin" galaxy
,,NGC4568,12:37:07,11:10:30,Vir,4.6'x2.1',11,G-Sc,65e6,"Siamese Twin" galaxy
,,NGC4605,12:40:28,61:33:17,UMa,5.5'x2.3',9.6,G-Sc,14e9,Peculiar galaxy
D,XX,M104,12:40:32,-11:40:44,Vir,7'x1.5',8.3,G-Sb,70e6,"Sombrero" galaxy
,,NGC4631,12:42:36,32:28:24,CVn,15'x3.3',9.3,G-Sc,25e6,Edge- on spiral
,XX,Y CVN,12:45:37,45:22:46,CVn,-,5-6.4,Var.,400,"La Superba" - carbon star
,,M94,12:51:22,41:03:33,CVn,5'x3.5',8.1,G-Sbp,21e6,Bright comet-like
,XX,ALP2 CVN,12:56:31,38:15:31,CVn,20",3-5.5,Double,110,"Cor Caroli"
,,M64,12:57:15,21:37:34,Com,7.5'x3.5',8.5,G-Sb,24e6,"Black Eye" galaxy
,,M53,13:13:24,18:06:35,Com,10',7.7,GC,65000,Radiating chains
,,M63,13:16:17,41:57:34,CVn,9'x4',8.6,G-Sb,35e6,"Sunflower" galaxy
D,XXXX,M51,13:30:20,47:08:20,CVn,10'x5.5',8.1,G-Sc,35e6,"Whirlpool" galaxy
,XXX,M3,13:42:40,28:19:41,CVn,18'x10',6.4,GC,42000,130LY diameter
D,XX,M101,14:03:33,54:17:47,UMa,21',7.7,G-Sc,25e6,"Pinwheel" galaxy
,,EPS BOO,14:45:25,27:01:41,Boo,3.0",2.5-5,Double,210,Yellow-orange & bluegreen
,,XI BOO,14:51:51,19:03:21,Boo,6.0",4.7-6.6,Double,22,Yellow & reddish violet
,,NGC5907,15:16:09,56:16:27,Dra,12.3'x2',10.4,G-Sb,40e6,Edge-on/dust lane
,XXX,M5,15:19:06,02:02:42,Ser,13',5.8,GC,29000,
,XXXX,M13,16:42:03,36:26:19,Her,23',5.9,GC,26000,
,,NGC6210,16:44:55,23:47:45,Her,14",9.3,PN,4700,Starlike
,,M12,16:47:43,-01:58:08,Oph,14.5',6.6,GC,23000,
,,M10,16:57:38,-04:07:00,Oph,8',6.6,GC,23000,
,,MU DRA,17:05:31,54:27:13,Dra,2.5",5-5.1,Double,88,
,XX,NGC6309,17:14:40,-12:55:44,Oph,25"x15",11.5,PN,8e6,"Box" Nebula
,,ALP HER,17:15:06,14:22:39,Her,4.7",3-5.5,Double,1369,Ras Algethi (red & green)
,,M92,17:17:23,43:08:13,Her,8',6.5,GC,33000,
,XXX,T DRA,17:56:30,58:12:56,Dra,15.6",var.-10,Double,2300,Pale blue and red
,,BARNARD'S,17:58:18,04:41:30,Oph,-,9.53,Misc,6,Barnard's Star
,XXXX,NGC6543,17:58:32,66:37:52,Dra,18",8.8,PN,4400,"Cat's Eye" nebula
,,M20,18:02:54,-23:02:01,Sgr,25',8.5,E/RN,5200,"Trifid" nebula
,,M8,18:04:25,-24:23:02,Sgr,80'x40',5.8,EN,5200,"Lagoon" nebula
,,70 OPH,18:05:57,02:29:59,Oph,3.6",4-6,Double,16.5,Yellow & orange
,XX,NGC6572,18:12:35,06:51:06,Oph,14",9.0,PN,3500,"Blue Racquetball" small bright blue
,,M16,18:19:22,-13:46:47,Ser,25',6.0,EN-OC,8100,"Eagle" nebula
,,M17,18:21:22,-16:10:45,Sgr,45'x35',7,EN,6900,"Swan" nebula
,,STRUVE 2306,18:22:46,-15:04:44,Sct,11.2",7.2-7.9,Double,,Yellow and blue
,,T LYR,18:32:40,37:00:18,Lyr,-,7.8-9.6,Var,2000,Reddish orange
,,M22,18:37:00,-23:53:31,Sgr,18',5.1,GC,9600,
,XXX,EPS1 LYR,18:44:39,39:40:49,Lyr,2.6",5.5-6.5,Double,180,"Double-double"
,XXX,EPS2 LYR,18:44:42,39:37:22,Lyr,2.3",5-5.5,Double,180,"Double-double"
,XXX,M11,18:51:38,-06:15:18,Sct,12',5.8,OC,5600,"Wild Duck" cluster
,XXXX,M57,18:53:57,33:02:45,Lyr,1.3'x1',9.0,PN,2600,"Ring" nebula
,,THE1 SER,18:56:42,04:12:59,Ser,22.0",4.5-5.5,Double,132,Alya
,,NGC6781,19:18:53,06:34:06,Aql,109",11.8,PN,2500,Fairly bright
,XXX,BET1 CYG,19:31:06,27:58:53,Cyg,34.5",3-5.5,Double,385,Albireo
,XXX,PK 64+5.1,19:35:13,30:32:14,Cyg,8",9.6,PN,31000,Campbell's "Hydrogen Star"
,X,NGC6818,19:44:34,-14:07:34,Sgr,17",9.9,PN,7300,"Little Gem"
,XXX,NGC6826,19:45:03,50:32:32,Cyg,30",9.8,PN,3600,"Blinking" planetary nebula
,,DEL CYG,19:45:16,45:09:22,Cyg,2.6",3-6.5,Double,170,
,XXX,M27,20:00:01,22:44:42,Vul,8'x5',8.1,PN,1100,"Dumbbell" nebula
D,X,PK 80-6.1,21:02:42,36:44:07,Cyg,16",13.5,PN?,3000,"Egg" nebula
,XXXX,NGC7009,21:04:45,-11:19:37,Aqr,25",8.3,PN,3200,"Saturn" nebula
,,61 C3CYG,21:07:17,38:47:20,Cyg,30",5-5.6,Double,11.4,Dwarf pair
,XX,NGC7027,21:07:28,42:16:36,Cyg,15",8.5,PN,2600,Bluegreen protoplanetary nebula
,XXXX,M15,21:30:29,12:12:44,Peg,10',6.4,GC,42000,
,XXX,M2,21:34:01,-00:46:17,Aqr,7',6.5,GC,49000,
,,S CEP,21:34:58,78:40:29,Cep,-,7.4-12.9,Var.,2000,Carbon star
,XX,MU CEP,21:43:47,58:49:51,Cep,-,3.7-5,Var.,5260,"Garnet Star"
